tconst	başlıkTipi	öncelikliBaşlık	orjinalBaşlık	yetişkinFilmiMi	başlangıçYılı	bitişYılı	süre	tür	başlıkId	sıralama	başlık	ülke	dil	tip	özellikler	orjinalBaşlıkMı
tt1732651	movie	Ghost Shark 2: Urban Jaws	Ghost Shark 2: Urban Jaws	0	2015	\N	70	Drama,Fantasy,Horror	tt1732651	1	Ghost Shark 2: Urban Jaws	NZ	\N	\N	\N	0
tt1780798	movie	Clown	Clown	0	2014	\N	100	Drama,Fantasy,Horror	tt1780798	10	Clown	FR	\N	imdbDisplay	\N	0
tt1780798	movie	Clown	Clown	0	2014	\N	100	Drama,Fantasy,Horror	tt1780798	11	El payaso del mal	UY	\N	\N	original subtitled version	0
tt1780798	movie	Clown	Clown	0	2014	\N	100	Drama,Fantasy,Horror	tt1780798	1	El payaso del mal	AR	\N	imdbDisplay	\N	0
tt1780798	movie	Clown	Clown	0	2014	\N	100	Drama,Fantasy,Horror	tt1780798	2	Klaun	PL	\N	imdbDisplay	\N	0
tt1780798	movie	Clown	Clown	0	2014	\N	100	Drama,Fantasy,Horror	tt1780798	3	Клоун	RU	\N	\N	\N	0
tt1780798	movie	Clown	Clown	0	2014	\N	100	Drama,Fantasy,Horror	tt1780798	4	Clown	IT	\N	\N	literal title	0
tt1780798	movie	Clown	Clown	0	2014	\N	100	Drama,Fantasy,Horror	tt1780798	5	El payaso del mal	MX	\N	imdbDisplay	\N	0
tt1780798	movie	Clown	Clown	0	2014	\N	100	Drama,Fantasy,Horror	tt1780798	6	The Clown	ES	\N	imdbDisplay	\N	0
tt1780798	movie	Clown	Clown	0	2014	\N	100	Drama,Fantasy,Horror	tt1780798	7	Clown	US	\N	\N	\N	0
tt1780798	movie	Clown	Clown	0	2014	\N	100	Drama,Fantasy,Horror	tt1780798	8	El payaso del mal	PE	\N	imdbDisplay	\N	0
tt1780798	movie	Clown	Clown	0	2014	\N	100	Drama,Fantasy,Horror	tt1780798	9	Clown	\N	\N	original	\N	1
tt2122313	movie	The Circle	Cirkeln	0	2015	\N	144	Drama,Fantasy,Horror	tt2122313	10	Cirklen	DK	\N	imdbDisplay	\N	0
tt2122313	movie	The Circle	Cirkeln	0	2015	\N	144	Drama,Fantasy,Horror	tt2122313	11	Круг	RU	\N	\N	\N	0
tt2122313	movie	The Circle	Cirkeln	0	2015	\N	144	Drama,Fantasy,Horror	tt2122313	12	Il cerchio	IT	\N	imdbDisplay	\N	0
tt2122313	movie	The Circle	Cirkeln	0	2015	\N	144	Drama,Fantasy,Horror	tt2122313	13	El Círculo	ES	\N	imdbDisplay	\N	0
tt2122313	movie	The Circle	Cirkeln	0	2015	\N	144	Drama,Fantasy,Horror	tt2122313	14	Krag	PL	\N	imdbDisplay	\N	0
tt2122313	movie	The Circle	Cirkeln	0	2015	\N	144	Drama,Fantasy,Horror	tt2122313	1	Cirkeln	\N	\N	original	\N	1
tt2122313	movie	The Circle	Cirkeln	0	2015	\N	144	Drama,Fantasy,Horror	tt2122313	2	A Kör	HU	\N	imdbDisplay	\N	0
tt2122313	movie	The Circle	Cirkeln	0	2015	\N	144	Drama,Fantasy,Horror	tt2122313	3	Sirkelen	NO	\N	imdbDisplay	\N	0
tt2122313	movie	The Circle	Cirkeln	0	2015	\N	144	Drama,Fantasy,Horror	tt2122313	4	Cirkeln	SE	\N	\N	\N	0
tt2122313	movie	The Circle	Cirkeln	0	2015	\N	144	Drama,Fantasy,Horror	tt2122313	5	The Circle	XWW	en	imdbDisplay	\N	0
tt2122313	movie	The Circle	Cirkeln	0	2015	\N	144	Drama,Fantasy,Horror	tt2122313	6	The Circle - Chapitre 1: Les élues	FR	\N	imdbDisplay	\N	0
tt2122313	movie	The Circle	Cirkeln	0	2015	\N	144	Drama,Fantasy,Horror	tt2122313	7	Zirkel	DE	\N	imdbDisplay	\N	0
tt2122313	movie	The Circle	Cirkeln	0	2015	\N	144	Drama,Fantasy,Horror	tt2122313	8	O Círculo	BR	\N	imdbDisplay	\N	0
tt2122313	movie	The Circle	Cirkeln	0	2015	\N	144	Drama,Fantasy,Horror	tt2122313	9	Za Saakuru	JP	\N	imdbDisplay	\N	0
tt2150459	short	Scarecrow's Last Dance	Scarecrow's Last Dance	0	2015	\N	10	Drama,Fantasy,Horror	tt2150459	1	Scarecrow's Last Dance	US	\N	\N	\N	0
tt2196236	movie	Perfidy	Perfidia	0	2014	\N	73	Drama,Fantasy,Horror	tt2196236	1	Perfidia	\N	\N	original	\N	1
tt2196236	movie	Perfidy	Perfidia	0	2014	\N	73	Drama,Fantasy,Horror	tt2196236	2	Perfidia	CL	\N	\N	\N	0
tt2196236	movie	Perfidy	Perfidia	0	2014	\N	73	Drama,Fantasy,Horror	tt2196236	3	Perfidy	XWW	en	imdbDisplay	\N	0
tt2196236	movie	Perfidy	Perfidia	0	2014	\N	73	Drama,Fantasy,Horror	tt2196236	4	The Wicked Woods	US	\N	alternative	\N	0
tt2196236	movie	Perfidy	Perfidia	0	2014	\N	73	Drama,Fantasy,Horror	tt2196236	5	Perfide	DE	\N	imdbDisplay	\N	0
tt2323804	movie	Gilgamesh	Gilgamesh	0	2014	\N	103	Drama,Fantasy,Horror	tt2323804	1	Gilgamesh	\N	\N	original	\N	1
tt2323804	movie	Gilgamesh	Gilgamesh	0	2014	\N	103	Drama,Fantasy,Horror	tt2323804	2	Gilgamesh	US	\N	\N	\N	0
tt2323804	movie	Gilgamesh	Gilgamesh	0	2014	\N	103	Drama,Fantasy,Horror	tt2323804	3	Richard Chandler's Gilgamesh	US	\N	working	\N	0
tt2567770	short	The Last Time I Saw Richard	The Last Time I Saw Richard	0	2014	\N	23	Drama,Fantasy,Horror	tt2567770	1	The Last Time I Saw Richard	\N	\N	original	\N	1
