tconst_x	sezonNo	bölümNo	başlıkTipi	öncelikliBaşlık	orjinalBaşlık	yetişkinFilmiMi	başlangıçYılı	bitişYılı	süre	tür	ortalamaPuan	oyVerenSayısı	sezonVeBölüm	18-29 yaş	30-44 yaş	45 yaş üstü	18 yaş altı	kadın	18-29 yaş kadın	30-44 yaş kadın	45 yaş üstü kadın	18 yaş altı kadın	imdb kullanıcıları	erkek	18-29 yaş erkek	30-44 yaş erkek	45 yaş üstü erkek	18 yaş altı erkek	abd dışı kullanıcılar	top 1000 oyveren	abd kullanıcıları
tt4593118	1	1	tvSeries	Stranger Things	Stranger Things	0	2016	\N	51	Drama,Fantasy,Horror	8.6	17253	S1E1	8.7	8.4	8.3	8.8	8.6	8.7	8.5	8.5	9.0	8.6	8.6	8.7	8.4	8.3	8.7	8.5	8.1	8.6
tt4593122	1	2	tvSeries	Stranger Things	Stranger Things	0	2016	\N	51	Drama,Fantasy,Horror	8.5	15449	S1E2	8.6	8.4	8.3	8.7	8.6	8.7	8.5	8.7	9.2	8.5	8.4	8.5	8.3	8.3	8.6	8.3	8.1	8.6
tt4593124	1	4	tvSeries	Stranger Things	Stranger Things	0	2016	\N	51	Drama,Fantasy,Horror	9.0	15164	S1E4	9.1	8.8	8.8	9.2	9.1	9.2	8.9	9.0	9.7	9.0	8.9	9.1	8.8	8.7	9.1	8.9	8.4	9.0
tt4593126	1	3	tvSeries	Stranger Things	Stranger Things	0	2016	\N	51	Drama,Fantasy,Horror	8.9	15466	S1E3	9.0	8.8	8.7	9.1	9.0	9.1	8.9	9.0	9.5	8.9	8.9	9.0	8.7	8.6	9.0	8.8	8.4	9.0
tt4593128	1	5	tvSeries	Stranger Things	Stranger Things	0	2016	\N	51	Drama,Fantasy,Horror	8.8	14309	S1E5	8.9	8.6	8.6	8.8	9.0	9.0	8.8	9.0	9.2	8.8	8.7	8.9	8.6	8.5	8.7	8.6	8.4	8.9
tt4593132	1	6	tvSeries	Stranger Things	Stranger Things	0	2016	\N	51	Drama,Fantasy,Horror	8.9	14155	S1E6	9.0	8.7	8.7	9.0	9.0	9.1	8.9	9.1	9.4	8.9	8.8	9.0	8.7	8.6	8.9	8.7	8.5	9.0
tt4593134	1	7	tvSeries	Stranger Things	Stranger Things	0	2016	\N	51	Drama,Fantasy,Horror	9.1	14794	S1E7	9.3	8.9	8.8	9.5	9.2	9.3	9.1	9.0	9.7	9.1	9.1	9.2	8.9	8.8	9.4	9.0	8.5	9.2
tt4593138	1	8	tvSeries	Stranger Things	Stranger Things	0	2016	\N	51	Drama,Fantasy,Horror	9.4	17339	S1E8	9.5	9.2	9.0	9.7	9.4	9.5	9.3	9.3	9.9	9.4	9.3	9.5	9.1	8.9	9.6	9.2	8.8	9.4
tt6020684	2	1	tvSeries	Stranger Things	Stranger Things	0	2016	\N	51	Drama,Fantasy,Horror	8.3	13677	S2E1	8.4	8.1	8.2	8.4	8.4	8.5	8.4	8.4	9.3	8.3	8.3	8.4	8.1	8.1	8.3	8.2	8.0	8.4
tt6020792	2	2	tvSeries	Stranger Things	Stranger Things	0	2016	\N	51	Drama,Fantasy,Horror	8.4	12645	S2E2	8.5	8.2	8.2	8.6	8.6	8.7	8.5	8.6	8.9	8.4	8.4	8.5	8.2	8.2	8.6	8.3	8.1	8.5
tt6020796	2	3	tvSeries	Stranger Things	Stranger Things	0	2016	\N	51	Drama,Fantasy,Horror	8.7	12393	S2E3	8.8	8.4	8.4	8.8	8.8	8.9	8.6	8.8	9.2	8.7	8.6	8.8	8.4	8.3	8.7	8.5	8.2	8.6
tt6020802	2	4	tvSeries	Stranger Things	Stranger Things	0	2016	\N	51	Drama,Fantasy,Horror	8.7	12189	S2E4	8.8	8.5	8.4	8.7	8.8	8.9	8.6	8.8	8.8	8.7	8.6	8.8	8.4	8.4	8.7	8.6	8.2	8.7
